iter	Passed	Remaining
0	152	151919
1	153	76757
2	155	51711
3	157	39151
4	158	31628
5	160	26619
6	164	23400
7	166	20672
8	168	18544
9	170	16848
10	171	15459
11	173	14299
12	175	13312
13	179	12637
14	181	11909
15	183	11261
16	184	10683
17	186	10170
18	188	9713
19	189	9298
20	191	8929
21	196	8736
22	198	8439
23	200	8148
24	202	7881
25	203	7634
26	205	7407
27	209	7259
28	211	7065
29	212	6878
30	214	6702
31	216	6536
32	217	6383
33	219	6236
34	221	6096
35	224	6010
36	226	5887
37	227	5771
38	229	5659
39	231	5551
40	233	5451
41	234	5353
42	236	5263
43	239	5208
44	241	5129
45	243	5048
46	245	4970
47	246	4895
48	248	4824
49	250	4759
50	254	4741
51	257	4699
52	260	4654
53	262	4601
54	264	4543
55	266	4488
56	270	4475
57	272	4422
58	274	4371
59	275	4320
60	277	4271
61	279	4226
62	281	4183
63	285	4178
64	287	4133
65	289	4091
66	290	4048
67	292	4012
68	294	3973
69	296	3935
70	300	3928
71	302	3893
72	303	3858
73	305	3826
74	308	3799
75	310	3777
76	315	3781
77	318	3762
78	321	3748
79	324	3731
80	326	3702
81	328	3675
82	330	3648
83	332	3623
84	334	3598
85	336	3573
86	338	3550
87	340	3529
88	346	3547
89	348	3525
90	350	3501
91	353	3487
92	356	3473
93	361	3487
94	364	3469
95	366	3452
96	368	3433
97	371	3420
98	373	3400
99	378	3409
100	380	3388
101	382	3369
102	384	3351
103	386	3332
104	388	3314
105	392	3311
106	394	3294
107	396	3277
108	398	3260
109	400	3242
110	402	3225
111	406	3224
112	408	3208
113	410	3191
114	412	3176
115	414	3160
116	416	3141
117	418	3126
118	421	3123
119	424	3110
120	426	3095
121	427	3078
122	429	3063
123	431	3049
124	433	3034
125	437	3032
126	440	3024
127	442	3013
128	445	3004
129	447	2996
130	450	2987
131	453	2982
132	455	2969
133	457	2956
134	459	2944
135	461	2933
136	464	2923
137	469	2935
138	473	2930
139	477	2930
140	484	2948
141	485	2935
142	489	2936
143	493	2932
144	498	2942
145	502	2936
146	504	2928
147	508	2924
148	510	2918
149	515	2923
150	518	2915
151	521	2907
152	524	2906
153	529	2911
154	532	2901
155	534	2890
156	536	2882
157	538	2870
158	540	2860
159	545	2864
160	546	2850
161	549	2840
162	551	2830
163	553	2821
164	555	2811
165	560	2814
166	563	2811
167	565	2801
168	567	2791
169	569	2782
170	571	2772
171	577	2778
172	580	2773
173	582	2765
174	584	2757
175	587	2749
176	591	2752
177	594	2743
178	596	2734
179	598	2725
180	600	2716
181	601	2705
182	604	2697
183	607	2692
184	609	2683
185	611	2674
186	613	2665
187	614	2655
188	616	2646
189	618	2638
190	621	2634
191	623	2624
192	626	2617
193	627	2608
194	629	2598
195	631	2589
196	633	2581
197	636	2578
198	638	2570
199	640	2560
200	641	2550
201	643	2541
202	645	2534
203	647	2524
204	648	2516
205	651	2512
206	653	2503
207	655	2496
208	657	2487
209	659	2479
210	660	2470
211	662	2462
212	666	2461
213	667	2453
214	669	2444
215	671	2436
216	673	2428
217	675	2421
218	677	2415
219	680	2413
220	682	2406
221	684	2398
222	686	2390
223	687	2382
224	689	2374
225	691	2367
226	693	2360
227	696	2359
228	699	2353
229	701	2347
230	703	2340
231	705	2334
232	706	2326
233	708	2319
234	712	2317
235	713	2310
236	715	2303
237	717	2296
238	719	2291
239	721	2283
240	722	2276
241	726	2276
242	728	2269
243	730	2262
244	731	2255
245	734	2250
246	735	2243
247	737	2236
248	739	2230
249	742	2226
250	743	2219
251	745	2212
252	747	2206
253	748	2199
254	750	2193
255	753	2188
256	757	2188
257	758	2182
258	760	2175
259	762	2170
260	764	2164
261	766	2158
262	768	2152
263	771	2150
264	773	2144
265	774	2137
266	776	2132
267	778	2126
268	780	2119
269	781	2113
270	784	2109
271	787	2106
272	788	2100
273	790	2094
274	792	2088
275	793	2082
276	795	2077
277	797	2071
278	801	2071
279	803	2065
280	804	2059
281	806	2053
282	808	2047
283	810	2043
284	812	2038
285	814	2032
286	817	2030
287	819	2026
288	821	2020
289	823	2015
290	824	2009
291	826	2004
292	828	1998
293	832	1998
294	834	1994
295	836	1988
296	837	1983
297	840	1979
298	842	1974
299	844	1970
300	849	1972
301	851	1968
302	854	1964
303	855	1959
304	857	1954
305	859	1949
306	863	1948
307	865	1943
308	866	1938
309	868	1933
310	870	1928
311	872	1922
312	873	1917
313	877	1917
314	879	1912
315	881	1907
316	882	1902
317	884	1896
318	886	1891
319	887	1886
320	889	1881
321	893	1880
322	895	1875
323	896	1871
324	898	1866
325	900	1861
326	902	1856
327	903	1851
328	907	1851
329	909	1846
330	911	1841
331	912	1836
332	914	1831
333	916	1827
334	917	1822
335	919	1817
336	923	1815
337	924	1810
338	926	1806
339	928	1801
340	929	1796
341	931	1792
342	933	1787
343	934	1782
344	938	1781
345	939	1776
346	941	1771
347	943	1767
348	944	1762
349	946	1757
350	948	1753
351	949	1748
352	952	1746
353	954	1741
354	956	1737
355	958	1733
